"ELF","OPLabel","OPLabelString","MinDistance","country"
"Singapore","Singapore","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SGP"
"Sint Maarten","Sint Maarten","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SXM"
"Slovakia","Slovakia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SVK"
"Slovenia","Slovenia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SVN"
"Solomon Islands","Solomon Islands","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SLB"
"South Africa","South Africa","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/ZAF"
"Spain","Spain","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/ESP"
"Suriname","Suriname","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SUR"
"Sweden","Sweden","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/SWE"
"Switzerland","Switzerland","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/CHE"
"Thailand","Thailand","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/THA"
"Tonga","Tonga","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/TON"
"Tunisia","Tunisia","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/TUN"
"Tuvalu","Tuvalu","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/TUV"
"Türkiye","Türkiye","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/TUR"
"United Arab Emirates","United Arab Emirates","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/ARE"
"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland","AltLabel","0.0e0","http://publications.europa.eu/resource/authority/country/GBR"
"United States of America","United States of America","AltLabel","0.0e0","http://publications.europa.eu/resource/authority/country/USA"
"Vanuatu","Vanuatu","PrefLabel","0.0e0","http://publications.europa.eu/resource/authority/country/VUT"
"Bolivia (Plurinational State of)","Plurinational State of Bolivia","AltLabel","0.13741805082205727e0","http://publications.europa.eu/resource/authority/country/BOL"
"Virgin Islands (British)","British Virgin Islands","PrefLabel","0.18955679914124668e0","http://publications.europa.eu/resource/authority/country/VGB"
"Korea (Republic of)","Republic of Korea","AltLabel","0.24853085069782066e0","http://publications.europa.eu/resource/authority/country/KOR"
"Virgin Islands (U.S.)","US Virgin Islands","PrefLabel","0.28918134668908924e0","http://publications.europa.eu/resource/authority/country/VIR"
"Myanmar","Myanmar/Burma","PrefLabel","0.32580013753675796e0","http://publications.europa.eu/resource/authority/country/MMR"
"Taiwan (Province of China)","Taiwan","PrefLabel","0.5917517095361369e0","http://publications.europa.eu/resource/authority/country/TWN"
"Viet Nam","Vietnam","PrefLabel","0.6348516283298893e0","http://publications.europa.eu/resource/authority/country/VNM"
