"subject","equivalent","spdxurl","OPLabel","SPDXLabel","OPid","SPDXid","BestMatch","LabelID","MinDistance"
"http://publications.europa.eu/resource/authority/licence/CC_BYNC_2_5","http://creativecommons.org/licenses/by-nc/2.5/","https://spdx.org/licenses/CC-BY-NC-2.5","Creative Commons Attribution–NonCommercial 2.5 Generic","Creative Commons Attribution Non Commercial 2.5 Generic","CC-BYNC-2-5","CC-BY-NC-2-5","Creative Commons Attribution Non Commercial 2.5 Generic","Label","0.1102983159220986e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYSA_1_0","http://creativecommons.org/licenses/by-sa/1.0/","https://spdx.org/licenses/CC-BY-SA-1.0","Creative Commons Attribution–ShareAlike 1.0 Generic","Creative Commons Attribution Share Alike 1.0 Generic","CC-BYSA-1-0","CC-BY-SA-1-0","Creative Commons Attribution Share Alike 1.0 Generic","Label","0.11106576079405461e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYSA_2_0","http://creativecommons.org/licenses/by-sa/2.0/","https://spdx.org/licenses/CC-BY-SA-2.0","Creative Commons Attribution–ShareAlike 2.0 Generic","Creative Commons Attribution Share Alike 2.0 Generic","CC-BYSA-2-0","CC-BY-SA-2-0","Creative Commons Attribution Share Alike 2.0 Generic","Label","0.11106576079405461e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYSA_2_5","http://creativecommons.org/licenses/by-sa/2.5/","https://spdx.org/licenses/CC-BY-SA-2.5","Creative Commons Attribution–ShareAlike 2.5 Generic","Creative Commons Attribution Share Alike 2.5 Generic","CC-BYSA-2-5","CC-BY-SA-2-5","Creative Commons Attribution Share Alike 2.5 Generic","Label","0.11106576079405461e0"
"http://publications.europa.eu/resource/authority/licence/DLDE_BY_1_0","https://www.govdata.de/dl-de/by-1-0","https://spdx.org/licenses/DL-DE-BY-2.0","Data licence Germany – attribution – Version 1.0","Data licence Germany – attribution – version 2.0","DLDE-BY-1-0","DL-DE-BY-2-0","Data licence Germany – attribution – version 2.0","Label","0.11538461538461531e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYND_1_0","http://creativecommons.org/licenses/by-nd/1.0/","https://spdx.org/licenses/CC-BY-1.0","Creative Commons Attribution–NoDerivs 1.0 Generic","Creative Commons Attribution 1.0 Generic","CC-BYND-1-0","CC-BY-1-0","Creative Commons Attribution 1.0 Generic","Label","0.14254391688025514e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYND_2_0","http://creativecommons.org/licenses/by-nd/2.0/","https://spdx.org/licenses/CC-BY-2.0","Creative Commons Attribution–NoDerivs 2.0 Generic","Creative Commons Attribution 2.0 Generic","CC-BYND-2-0","CC-BY-2-0","Creative Commons Attribution 2.0 Generic","Label","0.14254391688025514e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYND_2_5","http://creativecommons.org/licenses/by-nd/2.5/","https://spdx.org/licenses/CC-BY-2.5","Creative Commons Attribution–NoDerivs 2.5 Generic","Creative Commons Attribution 2.5 Generic","CC-BYND-2-5","CC-BY-2-5","Creative Commons Attribution 2.5 Generic","Label","0.14254391688025514e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYND_3_0","http://creativecommons.org/licenses/by-nd/3.0/","https://spdx.org/licenses/CC-BY-3.0","Creative Commons Attribution–NoDerivs 3.0 Unported","Creative Commons Attribution 3.0 Unported","CC-BYND-3-0","CC-BY-3-0","Creative Commons Attribution 3.0 Unported","Label","0.14483719748610502e0"
"http://publications.europa.eu/resource/authority/licence/CC_BYNCSA",,"https://spdx.org/licenses/CC-BY-NC-SA-4.0","Creative Commons Attribution–NonCommercial–ShareAlike 4.0 International","Creative Commons Attribution Non Commercial Share Alike 4.0 International","CC-BYNCSA","CC-BY-NC-SA-4-0","Creative Commons Attribution Non Commercial Share Alike 4.0 International","Label","0.14576958298060372e0"
